COMPANY,COUNTRY,MARKET,MARKET NAME
Votorantim Celulose e Papel S.A.,Brazil,NYSE,New York Stock Exchange 
W.P. Stewart & Co. Ltd.,Bermuda,NYSE,New York Stock Exchange 
Wacoal Corp.,Japan,SM CAP,Nasdaq Stock Market-Small Cap Market 
Waterford Wedgwood plc,Ireland,NMS,Nasdaq Stock Market-National Market System 
Waterford Wedgwood UK plc,United Kingdom,OTC,Over-the-Counter Market 
Wavecom S.A.,France,NMS,Nasdaq Stock Market-National Market System 
Wescast Industries Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Westaim Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
Westcoast Energy Inc.,Canada,NYSE,New York Stock Exchange 
Westpac Banking Corp.,Australia,NYSE,New York Stock Exchange 
Wharf Holdings Ltd.,Hong Kong,OTC,Over-the-Counter Market 
"WideCom Group, Inc.",Canada,OTC,Over-the-Counter Market 
William Hill Ltd.,United Kingdom,OTC,Over-the-Counter Market 
Willis Group Holdings Ltd.,Bermuda,NYSE,New York Stock Exchange 
Willis Group Ltd.,United Kingdom,OTC,Over-the-Counter Market 
Wipro Ltd.,India,NYSE,New York Stock Exchange 
WMC Ltd.,Australia,NYSE,New York Stock Exchange 
Wolseley plc,United Kingdom,NYSE,New York Stock Exchange 
Workstream Inc.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
World Gaming plc,United Kingdom,OTC,Over-the-Counter Market 
World Heart Corp.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
World Ventures Inc.,Canada,OTC,Over-the-Counter Market 
WorldWide Technologies Inc.,Canada,OTC,Over-the-Counter Market 
WPP Group plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Xcelera.com Inc.,Cayman Islands,AMEX,American Stock Exchange 
Xeikon N.V.,Belgium,NMS,Nasdaq Stock Market-National Market System 
Xenova Group plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Yanzhou Coal Mining Co. Ltd.,China,NYSE,New York Stock Exchange 
Yellow Pages Ltd.,Netherlands,OTC,Over-the-Counter Market 
Yorkshire Power Group Ltd.,United Kingdom,NYSE,New York Stock Exchange 
YPF S.A.,Argentina,NYSE,New York Stock Exchange 
Zarlink Semiconductor Inc.,Canada,NYSE,New York Stock Exchange 
Zemex Corp.,Canada,NYSE,New York Stock Exchange 
Zi Corp.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Ztest Electronics Inc.,Canada,OTC,Over-the-Counter Market 
